strategy,target_12wk_engagement,prob_achieving_pct,expected_mean,shortfall_at_p50
current_mix,5000,86.1,7301,0
current_mix,10000,11.6,7301,2904
current_mix,15000,0.2,7301,7904
current_mix,20000,0,7301,12904
current_mix,30000,0,7301,22904
current_mix,50000,0,7301,42904
optimised,5000,98.9,9939,0
optimised,10000,46.9,9939,196
optimised,15000,2.8,9939,5196
optimised,20000,0,9939,10196
optimised,30000,0,9939,20196
optimised,50000,0,9939,40196
heavy_reels,5000,100,12489,0
heavy_reels,10000,80.9,12489,0
heavy_reels,15000,18.2,12489,2653
heavy_reels,20000,0.7,12489,7653
heavy_reels,30000,0,12489,17653
heavy_reels,50000,0,12489,37653
