id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,likes_missing,comments,views,views_missing,owner_username,pillar,engagement_score
3770732883083042659,reel,Video,clips,https://www.instagram.com/p/DRUVZQ3DJ9j/,DRUVZQ3DJ9j,2025-11-21T12:00:04.000Z,2025-11-21,Friday,12,Just another day at the best lunch spot in town! #treehouserestaurant #reels #lunch #goodfood #foodinsta,104,5,treehouserestaurant reels lunch goodfood foodinsta,0,,15,false,0,2416,false,treehousegh,food,39.16
3807244133719709579,reel,Video,clips,https://www.instagram.com/p/DTWDF4zjZeL/,DTWDF4zjZeL,2026-01-10T21:06:21.000Z,2026-01-10,Saturday,21,@malaikurd just hit the stage at this year’s @afroson1cx at the @treehousegh and the vibes are unreal 🔥 #mx24gh mx24gh #mxbreaks #afroson1cx #Accra2026 #AFX2026,161,5,mx24gh mxbreaks afroson1cx accra2026 afx2026,3,malaikurd afroson1cx treehousegh,250,false,34,4272,false,mx24gh,ambience/decor/vibe,462.72
3811320360478718658,reel,Video,clips,https://www.instagram.com/p/DTkh6yzjDrC/,DTkh6yzjDrC,2026-01-16T12:00:00.000Z,2026-01-16,Friday,12,"When a legend touches the stage, the whole place comes alive 💃🏾🕺🏾 @amakyedede_ had everyone singing word for word 🎤",120,0,,1,amakyedede_,30,false,0,2387,false,treehousegh,events/live music/DJ,53.87
3803261395001967393,reel,Video,clips,https://www.instagram.com/p/DTH5haVDIMh/,DTH5haVDIMh,2026-01-05T09:09:36.000Z,2026-01-05,Monday,9,"The Cavemen are coming to AFROSON1C X in Accra, Ghana. Highlife reimagined. Let's enter the cave Accra -this one is special! 10th January 2026 Treehouse, Accra Tickets link in bio",179,0,,0,,72,false,1,6681,false,treehousegh,promotions/offers,143.81
3807216715042732350,reel,Video,clips,https://www.instagram.com/p/DTV825LDTk-/,DTV825LDTk-,2026-01-10T20:10:36.000Z,2026-01-10,Saturday,20,"@treehousegh is the only place to be tonight as @afroson1cx takes over. It’s happening right now, don’t be left out! Come vibe to your favorite tunes from @the.cavemen , @amakyedede_ and many more. AFROSON1C X 2026 #mx24gh #mxbreaks #afroson1cx #Accra2026 #AFX2026",264,5,mx24gh mxbreaks afroson1cx accra2026 afx2026,4,treehousegh afroson1cx the.cavemen amakyedede_,19,false,0,1040,false,mx24gh,ambience/decor/vibe,29.4
3801807558756039961,reel,Video,clips,https://www.instagram.com/p/DTCu9T0DH0Z/,DTCu9T0DH0Z,2026-01-03T09:03:41.000Z,2026-01-03,Saturday,9,At the red festival,19,0,,0,,13,false,1,919,false,queengabby_king,general brand/content,27.19
3746211393641952869,reel,Video,clips,https://www.instagram.com/p/DP9N2oLjLZl/,DP9N2oLjLZl,2025-10-18T16:00:52.000Z,2025-10-18,Saturday,16,"You’ve never dined like this. Afrohouse flowing, plates glowing, energy growing. Its TREEHOUSE RHYTHMS with @b.frvnkie every Saturday at 7:00pm. Your seat's waiting! #reels #treehouserestaurant #afrohouse #dinner #explorepage",225,5,reels treehouserestaurant afrohouse dinner explorepage,1,b.frvnkie,39,false,0,4005,false,treehousegh,food,79.05
3804855818278231773,reel,Video,clips,https://www.instagram.com/p/DTNkDUuDV7d/,DTNkDUuDV7d,2026-01-07T13:57:30.000Z,2026-01-07,Wednesday,13,"The SERIOUS man himself, The Iron Boy - AMAKYE DEDE will be live this Saturday 10th January at AFROSON1C X at Treehouse Restaurant, Accra! Don’t miss your chance to see a legend in action! 🇬🇭 10th January 2026 Treehouse, Accra @treehousegh @afroson1cx @amakyedede_ #amakyedede #AFX2026 #futureofmusic",302,3,amakyedede afx2026 futureofmusic,3,treehousegh afroson1cx amakyedede_,79,false,2,5435,false,afroson1cx,dinner/nightlife,143.35
3704174338748112512,reel,Video,clips,https://www.instagram.com/p/DNn3u9_Mt6A/,DNn3u9_Mt6A,2025-08-21T16:00:58.000Z,2025-08-21,Thursday,16,"THIS is your Friday night move. 🔥 @effthedj spinning throwback soul & R&B while you wine, dine, and vibe. You coming? #treehouserestaurant #reels #soulmusic #rnb",162,4,treehouserestaurant reels soulmusic rnb,1,effthedj,472,false,0,45962,false,treehousegh,cocktails/drinks,931.62
3760706846970382308,reel,Video,clips,https://www.instagram.com/p/DQwtvPGDIfk/,DQwtvPGDIfk,2025-11-11T16:00:28.000Z,2025-11-11,Tuesday,16,When the dinner turns into a dance floor… you know it’s a good night. Only at Treehouse Restaurant. #reels #dinner #funtimes #treehouserestaurant,145,4,reels dinner funtimes treehouserestaurant,0,,19,false,0,1940,false,treehousegh,dinner/nightlife,38.4
