id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,comments,views,owner_username,pillar,engagement_score
3687504562182795068,post,Sidecar,,https://www.instagram.com/p/DMspdywia88/,DMspdywia88,2025-08-04T16:00:20.000Z,2025-08-04,Monday,16,"Old Fashioned, but make it seductive. That's the APHRO FASHIONED #treehouserestaurant #drinks #drinkspecials #cocktails",119,4,treehouserestaurant drinks drinkspecials cocktails,0,,12,0,0,treehousegh,cocktails/drinks,12
3693302805588322949,post,Sidecar,,https://www.instagram.com/p/DNBP1VvC6qF/,DNBP1VvC6qF,2025-08-14T16:00:34.000Z,2025-08-14,Thursday,16,"Gather, eat, repeat. Because everything’s better with friends. #treehouserestaurant #lunch #dinner #goodfood",108,4,treehouserestaurant lunch dinner goodfood,0,,32,0,0,treehousegh,food,32
3689679202758116651,post,Sidecar,,https://www.instagram.com/p/DM0X6-ni0Ur/,DM0X6-ni0Ur,2025-08-01T17:00:04.000Z,2025-08-01,Friday,17,If you're not here… wyd? 👀 #treehouserestaurant #weekendvibes #lunch #dinner #goodfood #goodvibesonly,102,6,treehouserestaurant weekendvibes lunch dinner goodfood goodvibesonly,0,,47,1,0,treehousegh,food,52
3688954383305523977,post,Sidecar,,https://www.instagram.com/p/DMxzHd5i8MJ/,DMxzHd5i8MJ,2025-08-19T15:00:30.000Z,2025-08-19,Tuesday,15,"Our VEGETABLE RAGOUT is proof that vegetables can be the main event. Come try it today, or call 0599400737 #treehouserestaurant #lunch #dinner #foodinsta #foodie",161,5,treehouserestaurant lunch dinner foodinsta foodie,0,,6,1,0,treehousegh,food,11
3709836679794160403,post,Video,clips,https://www.instagram.com/p/DN7_M4B2HMT/,DN7_M4B2HMT,2025-08-29T11:30:30.000Z,2025-08-29,Friday,11,Feel the nostalgia. Taste the flavor. Soul Fridays hit different. #treehouserestaurant #soulmusic #rnb #throwback,113,4,treehouserestaurant soulmusic rnb throwback,0,,951,5,85176,treehousegh,food,1827.76
3712841769034722575,post,Sidecar,,https://www.instagram.com/p/DOGqerejC0P/,DOGqerejC0P,2025-09-12T15:00:41.000Z,2025-09-12,Friday,15,This could be your Friday night 👀 Who’s coming with you? Tag them👇 #treehouserestaurant #SoulFridays #SoulMusic #rnb #dinner #weekendplans,140,6,treehouserestaurant soulfridays soulmusic rnb dinner weekendplans,0,,56,0,0,treehousegh,dinner/nightlife,56
3755603342350123064,post,Sidecar,,https://www.instagram.com/p/DQelVeCDIA4/,DQelVeCDIA4,2025-10-31T15:00:14.000Z,2025-10-31,Friday,15,,0,0,,0,,10,0,0,treehousegh,general brand/content,10
3709217462145312603,post,Sidecar,,https://www.instagram.com/p/DN5yaEp2Odb/,DN5yaEp2Odb,2025-08-28T15:00:45.000Z,2025-08-28,Thursday,15,"Came for the food, stayed for the laughs #treehouserestaurant #funtimes #dinner #goodfood",89,4,treehouserestaurant funtimes dinner goodfood,0,,22,0,0,treehousegh,food,22
3722187729556765401,post,Sidecar,,https://www.instagram.com/p/DOn3gTfjHrZ/,DOn3gTfjHrZ,2025-09-15T12:29:36.000Z,2025-09-15,Monday,12,"Everything on the treehouse is perfection, I’m not sure you guys know just how much. I did lunch here last month and I had the •• Spicy Chicken Skewers (¢140) •• Sautéed Squid (they give you the option to have squid as a side! Fave! ¢90) •• Prawns in Coconut sauce with vegetable rice (¢300) •• Bread Pudding (¢120) I don’t think enough people know they’re open for lunch soooo this is your PSA. They’re open everyday from 12:00pm to 11:00pm and they deliver! You can reach them on 0599400737, swipe to see the full menu! . . . . .#lunch #ghanablogger #ghana #foodblogger #treehouse #treehouseghana",598,6,lunch ghanablogger ghana foodblogger treehouse treehouseghana,0,,-1,4,0,zubaidah.x,food,19
3657076098936604268,post,Video,clips,https://www.instagram.com/p/DLAi1YBsAZs/,DLAi1YBsAZs,2025-06-17T16:29:20.000Z,2025-06-17,Tuesday,16,"POV: You were at the first house music coffee party in Ghana 🇬🇭☕🎶 Vibes, movement, and something you’ve never seen before. S/O @cafecito_coffee_club . Huge love to everyone who pulled up — this is only the beginning. 🎧 Next one? Stay tuned 👀 #wedey #housemusicghana #treehouseghana #cafecito #povdj",303,5,wedey housemusicghana treehouseghana cafecito povdj,1,cafecito_coffee_club,433,58,15528,wedeymusic,ambience/decor/vibe,878.28
